City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,camana,-16.6228,-72.7111,69.01,89,100,11.34,PE,1714770779
314,manta,-0.95,-80.7333,83.98,74,40,11.5,EC,1714770607
315,bizerte,37.2744,9.8739,58.96,68,0,9.84,TN,1714770780
316,yeniseysk,58.4497,92.1703,25.95,95,68,3.0,RU,1714770780
317,gizo,-8.103,156.8419,81.97,82,100,5.32,SB,1714770781
318,berezovo,63.9381,65.0419,13.69,97,93,3.58,RU,1714770781
319,happy valley-goose bay,53.3168,-60.3315,37.83,79,69,10.98,CA,1714770781
320,bikenibeu village,1.3673,173.1241,85.96,79,20,8.05,KI,1714770782
321,bengkulu,-3.8004,102.2655,77.58,92,100,3.22,ID,1714770782
322,labytnangi,66.6572,66.4183,-3.62,97,53,3.51,RU,1714770783
323,margaret river,-33.95,115.0667,60.06,77,54,10.13,AU,1714770783
324,cam ranh,11.9214,109.1591,87.76,70,0,1.14,VN,1714770532
325,bamboo flat,11.7,92.7167,82.35,73,83,3.83,IN,1714770784
326,dzhalagash,45.0833,64.6667,69.15,28,29,7.52,KZ,1714770784
327,yamba,-5.9,22.3,71.53,64,25,3.85,CD,1714770785
328,corner brook,48.9667,-57.9484,35.76,96,100,9.53,CA,1714770785
329,nazca,-14.8333,-74.95,77.23,57,3,8.5,PE,1714770786
330,el sauzal de rodriguez,31.9,-116.6833,62.42,69,14,7.85,MX,1714770786
331,bonthe,7.5264,-12.505,82.71,83,97,6.02,SL,1714770787
332,la passe,45.5549,-0.8967,53.83,84,100,6.44,FR,1714770787
333,kavaratti,10.5669,72.642,85.5,65,12,4.63,IN,1714770788
334,bahia honda,22.9036,-83.1592,83.77,60,6,16.4,CU,1714770788
335,masterton,-40.9597,175.6575,48.09,78,0,0.96,NZ,1714770582
336,brisas de zicatela,15.8369,-97.0419,86.52,79,40,6.91,MX,1714770789
337,luau,-10.7073,22.2247,65.62,49,6,2.44,AO,1714770789
338,port lincoln,-34.7333,135.8667,55.9,77,4,5.61,AU,1714770790
339,punta arenas,-53.15,-70.9167,41.11,93,100,3.44,CL,1714770598
340,kapuskasing,49.4169,-82.4331,57.61,70,99,10.49,CA,1714770791
341,mountain home,43.133,-115.6912,62.42,31,75,8.99,US,1714770503
342,hilo,19.7297,-155.09,77.29,89,100,1.99,US,1714770724
343,bodo,67.28,14.405,42.94,83,100,8.05,NO,1714770792
344,keelakarai,9.2333,78.7833,86.58,76,97,14.74,IN,1714770792
345,ishikawa,26.4233,127.8214,74.14,89,40,6.91,JP,1714770793
346,alpine,32.835,-116.7664,76.95,54,0,5.75,US,1714770793
347,eureka,40.8021,-124.1637,72.75,63,100,5.99,US,1714770575
348,san rafael del yuma,18.4299,-68.6739,78.37,67,61,6.22,DO,1714770794
349,uzgen,40.7699,73.3007,57.49,63,97,4.32,KG,1714770795
350,quibala,-10.7337,14.98,60.24,64,4,1.25,AO,1714770795
351,sirte,31.2089,16.5887,65.97,74,8,10.22,LY,1714770796
352,chulakkurgan,43.765,69.1814,66.06,48,100,26.82,KZ,1714770796
353,dubrovnik,42.6481,18.0922,58.64,72,0,2.3,HR,1714770797
354,gurjaani,41.7429,45.8011,53.91,94,100,1.92,GE,1714770797
355,savannakhet,16.566,104.751,79.86,72,36,4.52,LA,1714770798
356,ivdel',60.6911,60.4206,26.19,87,6,5.01,RU,1714770798
357,yeed,4.55,43.0333,87.58,55,100,8.46,SO,1714770798
358,qaqortoq,60.7167,-46.0333,36.01,50,0,23.82,GL,1714770799
359,masina,-4.3836,15.3914,79.21,75,95,0.69,CD,1714770799
360,ban tak,17.0432,99.0813,79.45,63,1,5.21,TH,1714770800
361,koryazhma,61.3143,47.1691,28.9,77,48,3.83,RU,1714770800
362,fort bragg,35.139,-79.006,90.19,40,0,9.22,US,1714770801
363,fedorovka,53.6314,62.7078,42.39,70,75,5.5,KZ,1714770801
364,ambodifotatra,-16.9833,49.85,80.17,78,100,17.27,MG,1714770802
365,culiacan,24.7994,-107.3897,91.08,22,40,16.11,MX,1714770584
366,kununurra,-15.7667,128.7333,73.38,64,87,5.75,AU,1714770803
367,kodiak,57.79,-152.4072,42.31,100,100,11.5,US,1714770803
368,quellon,-43.1167,-73.6167,48.72,84,100,8.16,CL,1714770804
369,dalandzadgad,43.5708,104.425,53.37,37,97,5.19,MN,1714770804
370,taoudenni,22.6783,-3.9836,89.47,5,0,6.98,ML,1714770805
371,nadi,-17.8,177.4167,86.0,66,40,9.22,FJ,1714770533
372,shenkursk,62.1091,42.896,26.01,74,90,3.67,RU,1714770805
373,moree,-29.4667,149.85,60.13,80,100,8.61,AU,1714770806
374,kencong,-8.2833,113.3667,73.85,92,72,3.2,ID,1714770807
375,puerto gaitan,4.3133,-72.0816,87.73,64,100,3.38,CO,1714770807
376,moissala,8.3404,17.7663,85.71,26,90,5.3,TD,1714770808
377,brookings,44.3114,-96.7984,59.18,45,100,8.05,US,1714770523
378,kabo,7.6994,18.629,84.0,32,100,3.89,CF,1714770809
379,nogliki,51.8333,143.1667,29.34,92,44,7.0,RU,1714770809
380,ola,59.5833,151.2833,32.14,82,67,4.68,RU,1714770809
381,rupert,42.6191,-113.6772,51.75,58,20,5.97,US,1714770810
382,pimentel,-6.8367,-79.9342,73.69,68,0,23.02,PE,1714770810
383,usinsk,65.9939,57.5281,9.07,94,36,5.01,RU,1714770811
384,sao vicente,-23.9631,-46.3919,80.78,26,5,1.01,BR,1714770811
385,fatsa,41.0278,37.5014,57.0,95,100,0.76,TR,1714770812
